,return,agent,env,learning_rate,regularization_beta,test_results
273,175.0,OpenAI-DeepQ,CartPole-v0,0,0,175.0
274,176.0,OpenAI-DeepQ,CartPole-v0,0,0,176.0
275,179.0,OpenAI-DeepQ,CartPole-v0,0,0,179.0
276,190.0,OpenAI-DeepQ,CartPole-v0,0,0,190.0
277,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
278,200.0,OpenAI-DeepQ,CartPole-v0,0,0,200.0
279,153.0,OpenAI-DeepQ,CartPole-v0,0,0,153.0
280,157.0,OpenAI-DeepQ,CartPole-v0,0,0,157.0
281,141.0,OpenAI-DeepQ,CartPole-v0,0,0,141.0
282,143.0,OpenAI-DeepQ,CartPole-v0,0,0,143.0
283,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
284,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
285,148.0,OpenAI-DeepQ,CartPole-v0,0,0,148.0
286,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
287,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
288,137.0,OpenAI-DeepQ,CartPole-v0,0,0,137.0
289,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
290,120.0,OpenAI-DeepQ,CartPole-v0,0,0,120.0
291,120.0,OpenAI-DeepQ,CartPole-v0,0,0,120.0
292,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
293,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
294,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
295,106.0,OpenAI-DeepQ,CartPole-v0,0,0,106.0
296,112.0,OpenAI-DeepQ,CartPole-v0,0,0,112.0
297,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
298,103.0,OpenAI-DeepQ,CartPole-v0,0,0,103.0
299,109.0,OpenAI-DeepQ,CartPole-v0,0,0,109.0
300,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
301,114.0,OpenAI-DeepQ,CartPole-v0,0,0,114.0
302,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
303,103.0,OpenAI-DeepQ,CartPole-v0,0,0,103.0
304,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
305,109.0,OpenAI-DeepQ,CartPole-v0,0,0,109.0
306,100.0,OpenAI-DeepQ,CartPole-v0,0,0,100.0
307,112.0,OpenAI-DeepQ,CartPole-v0,0,0,112.0
308,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
309,109.0,OpenAI-DeepQ,CartPole-v0,0,0,109.0
310,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
311,110.0,OpenAI-DeepQ,CartPole-v0,0,0,110.0
312,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
313,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
314,103.0,OpenAI-DeepQ,CartPole-v0,0,0,103.0
315,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
316,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
